TAXONNAME,GENUS,SPECIES,SPCODE,LENGTH_MM,SIZEREFERENCE,DIET
Euchaeta marina,Euchaeta,marina,104552,3.26,Boltovskoy 1999,Carnivore
Clausocalanus ingens,Clausocalanus,ingens,345778,1.67,Frost & Fleminger 1968,Herbivore
Clytemnestra spp.,Clytemnestra,spp.,115273,0.93,"‘Species j’ (juvenile) (eg. Acartia spp. j or Centropages australiensis j )  the maximum size limit is based on the minimum size of either the smallest male or female of that species or genus and no minimum size limit has been entered",Omnivore
Nauplii copepod,,,1080,0.3,,Herbivore
Delibus nudus,Delibus,nudus,363905,0.55,New species - ‘Delibus f’ & ‘Delibus m’ size range based on the min & max size range of the female & male of D.nudus and D.Sewelli,Herbivore
Labidocera acuta,Labidocera,acuta,104726,3.225,Boltovskoy 1999,Carnivore
Scolecithricella nicobarica,Scolecithricella,nicobarica,360544,1.29,Razouls 2013,Herbivore
Paracalanus spp.,Paracalanus,spp.,104196,1.03,‘Species f’ (female) (eg. Acartia spp. f ) size range based on the min & max size range for all the female species of that genus in the database,Herbivore
Labidocera cervi,Labidocera,cervi,346588,2.95,Razouls 2012,Carnivore
Anthomedusae,,,151687,,,
Prosobranch,,,102,,,
Acartia spp.,Acartia,spp.,104108,0.72,"‘Species j’ (juvenile) (eg. Acartia spp. j or Centropages australiensis j )  the maximum size limit is based on the minimum size of either the smallest male or female of that species or genus and no minimum size limit has been entered",Omnivore
Acartia (Acartia) danae,Acartia (Acartia),danae,346026,0.79,Boltovskoy 1999,Omnivore
Acartia (Acartiura) tranteri,Acartia (Acartiura),tranteri,346042,1.04,Bradford-Grieve 1976,Omnivore
Acrocalanus monachus,Acrocalanus,monachus,220839,0.975,Boltovskoy 1999,Herbivore
Acrocalanus monachus,Acrocalanus,monachus,220839,0.835,Razouls 2012,Herbivore
Mesocalanus tenuicornis,Mesocalanus,tenuicornis,104468,2.1,Boltovskoy 1999,Herbivore
Nannocalanus minor,Nannocalanus,minor,104469,2.025,Boltovskoy 1999,Herbivore
Nauplii calanoid,,,1100,0.3,,Herbivore
Oncaea media complex,Oncaea,media complex,128938,0.56,Bottger-Schnack 2001,Omnivore
Paracalanus aculeatus,Paracalanus,aculeatus,104681,1.14,Bradford-Grieve 1994,Herbivore
Paracalanus spp.,Paracalanus,spp.,104196,0.7,"‘Species j’ (juvenile) (eg. Acartia spp. j or Centropages australiensis j )  the maximum size limit is based on the minimum size of either the smallest male or female of that species or genus and no minimum size limit has been entered",Herbivore
Pleuromamma borealis,Pleuromamma,borealis,104638,1.985,Boltovskoy 1999,Omnivore
Parvocalanus spp.,Parvocalanus,spp.,347746,0.67,Razouls 2013,Herbivore
Poecilostomatoida / Cyclopoid f,,,1103,0.7,,
Labidocera laevidentata,Labidocera,laevidentata,220924,1.9,Razouls 2013,Carnivore
Temora turbinata,Temora,turbinata,104880,1.33,Boltovskoy 1999,Herbivore
Actinotroch of phoronid worm,,,148378,,,
Decapod larvae,,,1130,,,
Hydroid,,,19494,,,
Porcelain crab zoea,,,106734,,,
Salpidae,,,137217,,,
Scolecithricella/Scolecithrix spp.,Scolecithricella/Scolecithrix,spp.,104103,1.572,Razouls 2013,Herbivore
Labidocera pavo,Labidocera,pavo,104735,1.88,Razouls 2012,Carnivore
Pontellina cf. morii,Pontellina,cf. morii,220928,1.63,"Based on Pontellina morii Razouls 2012",Carnivore
Acrocalanus spp.,Acrocalanus,spp.,104192,1.11,‘Species i’ (eg. Clausocalanus spp. i) size range based on the min & max size range for all the female species of that genus present in database,Herbivore
Calycophoran,,,135333,,,
Onychocorycaeus latus,Onychocorycaeus,latus,128818,2.845,Boltovskoy 1999,Carnivore
Copilia spp.,Copilia,spp.,128721,5.25,‘Species spp.’ (eg. Acartia spp. or Oncaea venusta (no sex)) size range based on the min & max size range for all the female & male species of that species or genus present in database,Omnivore
Phyllosoma larvae,,,383017,,,
Eucalanidae,,,104085,4.181,Based on female of species in database,Herbivore
Leptothecata,,,13552,,,
Centropages orsinii,Centropages,orsinii,220901,1.275,Boltovskoy 1999,Omnivore
Calocalanus cf. pavoninus,Calocalanus,cf. pavoninus,104670,0.67,Bradford-Grieve 1994,Herbivore
Eucalanidae m,,,104085,3.802,Based on average size of males in database,Herbivore
Pontellina plumata,Pontellina,plumata,104743,1.63,Boltovskoy 1999,Carnivore
Farranula spp.,Farranula,spp.,128636,0.61,‘Species spp.’ (eg. Acartia spp. or Oncaea venusta (no sex)) size range based on the min & max size range for all the female & male species of that species or genus present in database,Carnivore
Palaemonidae,,,106788,,,
Neocalanus tonsus,Neocalanus,tonsus,344701,3.85,Boltovskoy 1999,Herbivore
Scolecithrix spp.,Scolecithrix,spp.,104230,2.1,‘Species f’ (female) (eg. Acartia spp. f ) size range based on the min & max size range for all the female species of that genus in the database,Herbivore
Ditrichocorycaeus spp.,Ditrichocorycaeus,spp.,128635,1.025,‘Species f’ (female) (eg. Acartia spp. f ) size range based on the min & max size range for all the female species of that genus in the database,Carnivore
Scolecithrix spp.,Scolecithrix,spp.,104230,1.8,"‘Species j’ (juvenile) (eg. Acartia spp. j or Centropages australiensis j )  the maximum size limit is based on the minimum size of either the smallest male or female of that species or genus and no minimum size limit has been entered",Herbivore
Subeucalanus subtenuis,Subeucalanus,subtenuis,104549,2.75,Boltovskoy 1999,Herbivore
Urocorycaeus furcifer,Urocorycaeus,furcifer,128821,1.75,Razouls 2012,Carnivore
Labidocera pavo,Labidocera,pavo,104735,2.11,Razouls 2012,Carnivore
Pseudodiaptomus mertoni,Pseudodiaptomus,mertoni,355172,0.92,Razouls 2012,Omnivore
Pareucalanus langae,Pareucalanus,langae,354594,6.355,Razouls 2012,Herbivore
Sergestid protozoea,,,106731,,,
Ditrichocorycaeus anglicus,Ditrichocorycaeus,anglicus,128805,1,Razouls 2012,Carnivore
Oithona attenuata typical,Oithona,attenuata typical,220944,0.75,Nishida 1985,Herbivore
Subeucalanus longiceps,Subeucalanus,longiceps,345366,4.55,Bradford-Grieve 1994,Herbivore
Subeucalanus longiceps,Subeucalanus,longiceps,345366,6,Bradford-Grieve 1994,Herbivore
Calocalanus contractus,Calocalanus,contractus,104651,0.72,Boltovskoy 1999,Herbivore
Triconia elongata,Triconia,elongata,361555,0.475,Bottger-Schnack 1999,Omnivore
Aidanosagitta neglecta,Aidanosagitta,neglecta,266708,,,
Ditrichocorycaeus subtilis,Ditrichocorycaeus,subtilis,128809,0.77,Razouls 2012,Carnivore
Eucalanus spp.,Eucalanus,spp.,104171,5.85,‘Species spp.’ (eg. Acartia spp. or Oncaea venusta (no sex)) size range based on the min & max size range for all the female & male species of that species or genus present in database,Herbivore
Rhincalanus spp.,Rhincalanus,spp.,104172,3.35,‘Species m’ (male) (eg. Acartia spp. m ) size range based on the min & max size range for all the male species of that genus in the database,Herbivore
Agetus typicus,Agetus,typicus,128797,1.445,Razouls 2012,Carnivore
Ditrichocorycaeus andrewsi,Ditrichocorycaeus,andrewsi,128804,0.86,Razouls 2012,Carnivore
Euchaeta concinna,Euchaeta,concinna,104551,2.62,"Bradford Haakonssen & Jillett 1983",Carnivore
Subeucalanus spp.,Subeucalanus,spp.,104173,3.425,‘Species f’ (female) (eg. Acartia spp. f ) size range based on the min & max size range for all the female species of that genus in the database,Herbivore
Abylidae,,,135336,,,
Heterorhabdus spp.,Heterorhabdus,spp.,104178,1.985,‘Species f’ (female) (eg. Acartia spp. f ) size range based on the min & max size range for all the female species of that genus in the database,Carnivore
Fritillaria pellucida,Fritillaria,pellucida,103386,,,
Poecilostomatoida / Cyclopoid j,,,1103,0.5,,
Corycaeus crassiusculus,Corycaeus,crassiusculus,128799,1.72,Razouls 2012,Carnivore
Calanidae,,,104079,2.85,,Herbivore
Calanopia elliptica,Calanopia,elliptica,104724,1.85,Boltovskoy 1999,Carnivore
Oithona spp.,Oithona,spp.,106485,0.85,‘Species m’ (male) (eg. Acartia spp. m ) size range based on the min & max size range for all the male species of that genus in the database,Herbivore
Ctenocalanus vanus,Ctenocalanus,vanus,104510,1.09,Boltovskoy 1999,Herbivore
Clytemnestra spp.,Clytemnestra,spp.,115273,1.115,‘Species spp.’ (eg. Acartia spp. or Oncaea venusta (no sex)) size range based on the min & max size range for all the female & male species of that species or genus present in database,Omnivore
Poecilostomatoida / Cyclopoid,,,1103,0.7,,
Calanidae f,,,104079,2.85,,Herbivore
Onychocorycaeus giesbrechti,Onychocorycaeus,giesbrechti,128817,0.855,Razouls 2012,Carnivore
Neocalanus gracilis,Neocalanus,gracilis,104471,2.7,Boltovskoy 1999,Herbivore
Triconia antarctica,Triconia,antarctica,345368,1.205,Boltovskoy 1999,Omnivore
Thysanoessa vicina/macrura,Thysanoessa,vicina/macrura,110679,,,
Scolecithricella spp.,Scolecithricella,spp.,104229,1.27,Based on females of species in database,Herbivore
Euphausia triacantha,Euphausia,triacantha,236220,,,
Themisto gaudichaudii,Themisto,gaudichaudii,325384,,,
Euphausia longirostris,Euphausia,longirostris,221053,,,
Phronima spp.,Phronima,spp.,101804,,,
Paraeuchaeta biloba,Paraeuchaeta,biloba,344996,5.475,"Based on female size Bradford Haakonssen & Jillett 1983",Carnivore
Myctophid,,,125498,,,
Soestia zonaria,Soestia,zonaria,137275,,,
Lensia spp.,Lensia,spp.,135365,,,
Hemichordate larvae,,,1818,,,
Eukrohnia hamata,Eukrohnia,hamata,105416,,,
Large copepodite CI-CIII,,,1080,2.2,,Herbivore
Creseis spp.,Creseis,spp.,137752,,,
Gladioferens inermis,Gladioferens,inermis,351944,1,Nyan Taw 1975,Omnivore
Oncaea atlantica complex,Oncaea,atlantica complex,128926,0.24,Boltovskoy 1999,Omnivore
Styrofoam bead,,,,,,
Calanus helgolandicus,Calanus,helgolandicus,104466,2.7,Razouls 2013,Herbivore
Mesocalanus tenuicornis,Mesocalanus,tenuicornis,104468,2.05,Boltovskoy 1999,Herbivore
Salpa maxima,Salpa,maxima,137273,,,
Paraeuchaeta exigua,Paraeuchaeta,exigua,345051,5.65,Boltovskoy 1999,Carnivore
Subeucalanus dentatus,Subeucalanus,dentatus,360662,1.875,Razouls 2013,Herbivore
Pareucalanus attenuatus,Pareucalanus,attenuatus,237968,5.025,Razouls 2013,Herbivore
Acrocalanus longicornis,Acrocalanus,longicornis,104646,1.105,Boltovskoy 1999,Herbivore
Ditrichocorycaeus asiaticus,Ditrichocorycaeus,asiaticus,358328,1.18,Razouls 2012,Carnivore
Ditrichocorycaeus dahli,Ditrichocorycaeus,dahli,764980,0.945,Razouls 2012,Carnivore
Onychocorycaeus catus,Onychocorycaeus,catus,128816,0.98,Razouls 2012,Carnivore
Calocalanus plumulosus,Calocalanus,plumulosus,211848,1.015,Boltovskoy 1999,Herbivore
Euchirella rostromagna,Euchirella,rostromagna,342468,4.6,Razouls 2012,Herbivore
Paraeuchaeta barbata,Paraeuchaeta,barbata,104557,8.495,"Bradford Haakonssen & Jillett 1983",Carnivore
Pleuromamma robusta,Pleuromamma,robusta,104642,3.5,Boltovskoy 1999,Omnivore
Oithona tenuis,Oithona,tenuis,106658,1.18,Nishida 1985,Herbivore
Drepanopus spp.,Drepanopus,spp.,149746,2.14,‘Species spp.’ (eg. Acartia spp. or Oncaea venusta (no sex)) size range based on the min & max size range for all the female & male species of that species or genus present in database,
Ditrichocorycaeus erythraeus,Ditrichocorycaeus,erythraeus,764981,0.965,Razouls 2012,Carnivore
Parvocalanus latus,Parvocalanus,latus,354637,0.445,Razouls 2013,Herbivore
Stephos durio (invalid),Stephos,durio (invalid),,,unknown,
Anawekia spinosa,Anawekia,spinosa,346097,0.74,Razouls 2013,
Bradyidius styliformis,Bradyidius,styliformis,346181,1.38,Razouls 2013,Omnivore
Acartia (Odontacartia) erythraea,Acartia (Odontacartia),erythraea,346054,1,Razouls 2013,Omnivore
Acrocalanus gibber,Acrocalanus,gibber,104645,0.93,Boltovskoy 1999,Herbivore
Doliolidae,,,137215,,,
Calocalanus gracilis,Calocalanus,gracilis,345776,0.65,Razouls 2013,Herbivore
Oxycephalidae,,,196118,,,
Ferosagitta robusta,Ferosagitta,robusta,266249,,,
Abylopsis tetragona,Abylopsis,tetragona,135403,,,
Calycophoran larvae,,,135333,,,
Candacia bipinnata,Candacia,bipinnata,104475,2.4,Boltovskoy 1999,Carnivore
Hormiphora spp.,Hormiphora,spp.,106344,,,
Synchaeta spp.,Synchaeta,spp.,134958,,,
Tintinnina ,,,732976,,,
Oithona decipiens,Oithona,decipiens,106644,0.68,Razouls 2013,Herbivore
Acartia (Odontacartia) pacifica mertoni,Acartia (Odontacartia),pacifica mertoni,707481,0.93,Razouls 2013,Omnivore
Cosmocalanus spp.,Cosmocalanus,spp.,346315,2,Boltovskoy 1999,Herbivore
Undinula vulgaris,Undinula,vulgaris,104473,2.03,Boltovskoy 1999,Herbivore
Arietellus pavoninus,Arietellus,pavoninus,104350,5.025,Razouls 2013,Omnivore
Epicalymma spp.,Epicalymma,spp.,128689,0.47,Boltovskoy 1999,Omnivore
Microniscus spp.,Microniscus,spp.,293852,,,
Temora turbinata,Temora,turbinata,104880,0.93,Boltovskoy 1999,Herbivore
Macandrewella spp.,Macandrewella,spp.,346643,3.42,Razouls 2013,Herbivore
Mormonilla phasma,Mormonilla,phasma,119818,1.575,Razouls 2013,
Oithona fallax,Oithona,fallax,106645,0.905,Boltovskoy 1999,Herbivore
Oithona robusta,Oithona,robusta,106654,1.22,Boltovskoy 1999,Herbivore
Oncaea notopus,Oncaea,notopus,128943,0.805,Razouls 2013,Omnivore
Oncaea ovalis complex,Oncaea,ovalis complex,128945,0.475,Razouls 2013,Omnivore
Oncaeidae j,,,128586,0.5,,Omnivore
Sulcanus conflictus,Sulcanus,conflictus,355934,1.6,Razouls 2013,Carnivore
Acartia (Acartia) negligens,Acartia (Acartia),negligens,346030,1.035,Boltovskoy 1999,Omnivore
Acrocalanus gracilis,Acrocalanus,gracilis,220838,1.1,Boltovskoy 1999,Herbivore
Triconia dentipes,Triconia,dentipes,128958,0.495,Razouls 2013,Omnivore
Triconia derivata,Triconia,derivata,361552,1.135,Razouls 2013,Omnivore
Triconia furcula,Triconia,furcula,128959,1.125,Razouls 2013,Omnivore
Vettoria spp.,Vettoria,spp.,128723,0.868,Razouls 2013,Omnivore
Hippidae larvae,,,158390,,,
Pareucalanus spp.,Pareucalanus,spp.,237967,5.025,Razouls 2013,Herbivore
Neocalanus robustior,Neocalanus,robustior,104472,3.58,Boltovskoy 1999,Herbivore
Penaeus esculentus,Penaeus,esculentus,377566,,,
Conchoecia spp.,Conchoecia,spp.,127533,,,
Atlanta spp.,Atlanta,spp.,137687,,,
Pleuromamma xiphias,Pleuromamma,xiphias,104643,4.81,,Omnivore
Dadayiella ganymedes,Dadayiella,ganymedes,183542,,,
Salpingella spp.,Salpingella,spp.,183566,,,
Metis holothuriae,Metis,holothuriae,116379,1,,Omnivore
Haplostylus dakini,Haplostylus,dakini,226404,,,
Vibilia australis,Vibilia,australis,325409,,,
Labidocera acutifrons,Labidocera,acutifrons,104727,3.7,,Carnivore
Cypridina spp.,Cypridina,spp.,127520,,,
Nematoscelis spp.,Nematoscelis,spp.,110676,,,
Oikopleura (Vexillaria) albicans,Oikopleura (Vexillaria),albicans,103404,,,
Cypris spp.,Cypris,spp.,415273,,,
Pseudanchialina inermis,Pseudanchialina,inermis,161438,,,
Longipedia rosea,Longipedia,rosea,116374,0.85,Wells 1980,Omnivore
Cyanea capillata,Cyanea,capillata,135301,,,
Clytemnestra longipes,Clytemnestra,longipes,346286,1.21,Razouls 2012,Omnivore
Brachiopoda larvae,,,1803,,,
Oithona brevicornis,Oithona,brevicornis,106643,0.47,Boltovskoy 1999,Herbivore
Moina spp.,Moina,spp.,148346,,,
Boeckella fluvialis,Boeckella,fluvialis,349227,1.8,Dwight C. 1924,Omnivore
Dioithona oculata,Dioithona,oculata,346358,0.635,Boltovskoy 1999,Herbivore
Streetsia challengeri,Streetsia,challengeri,236592,,,
Vibilia cultripes,Vibilia,cultripes,180767,,,
Staurostoma falklandica,Staurostoma,falklandica,594014,,,
Agalma spp.,Agalma,spp.,135385,,,
Sergestid zoea,,,106731,,,
Eudoxoides spp.,Eudoxoides,spp.,135364,,,
Eutintinnus spp.,Eutintinnus,spp.,183543,,,
Neocalanus spp.,Neocalanus,spp.,104155,2.1,,Herbivore
Xystonellopsis heros,Xystonellopsis,heros,417266,,,
Hyperiidae,,,101796,,,
Codonella amphorella,Codonella,amphorella,417133,,,
Tullbergella  cuspidatus,Tullbergella ,cuspidatus,547498,,,
Candacia curta,Candacia,curta,104476,,Razouls 2012,Carnivore
Ditrichocorycaeus spp.,Ditrichocorycaeus,spp.,128635,,,
Ocyropsis spp.,Ocyropsis,spp.,106356,,,
Acantharia,,,586732,,,
Acartia (Acartia) danae,Acartia (Acartia),danae,346026,,,
Heterorhabdus spinifer,Heterorhabdus,spinifer,104582,,Razouls 2013,Carnivore
Oncaea minima complex,Oncaea,minima complex,128940,0.195,,
Pareucalanus spp.,Pareucalanus,spp.,237967,,,
Monacanthidae (leatherjacket) larvae,,,125610,,,
Stylocheiron spp.,Stylocheiron,spp.,110678,,,
Helicostomella subulata,Helicostomella,subulata,240437,,,
Protoconch,,,23000,,,
Anapronoe cf. reinhardti,Anapronoe,cf. reinhardti,488595,,,
Peltidiinae,,,587513,,,
Zoothamnium  pelagicum ,Zoothamnium ,pelagicum ,196832,,,
Phalacrophorus pictus,Phalacrophorus,pictus,209714,,,
Pseudosagitta spp.,Pseudosagitta,spp.,105409,,,
Squilla spp.,Squilla,spp.,136113,,,
Collosphaeridae,,,367309,,,
Radiolarian E,,,,,,
Radiolarian G,,,,,,
Melicertissa  antrichardsoni,Melicertissa ,antrichardsoni,1296958,,,
Gaetanus spp.,Gaetanus,spp.,104121,,,
Lubbockia spp.,Lubbockia,spp.,128672,1.45,"‘Species j’ (juvenile) (eg. Acartia spp. j or Centropages australiensis j )  the maximum size limit is based on the minimum size of either the smallest male or female of that species or genus and no minimum size limit has been entered",Omnivore
Metridia lucens,Metridia,lucens,104633,2.66,Boltovskoy 1999,Omnivore
Oncaea mediterranea complex,Oncaea,mediterranea complex,128939,1.18,Bottger-Schnack 1997,Omnivore
Labidocera spp.,Labidocera,spp.,104208,2.57,‘Species f’ (female) (eg. Acartia spp. f ) size range based on the min & max size range for all the female species of that genus in the database,Carnivore
Candacia falcifera,Candacia,falcifera,342437,3.415,Razouls 2012,Carnivore
Calanus australis,Calanus,australis,345760,3.185,Boltovskoy 1999,Herbivore
Aetideus acutus,Aetideus,acutus,104273,1.64,Boltovskoy 1999,Omnivore
Lucicutia flavicornis,Lucicutia,flavicornis,104597,1.5,Boltovskoy 1999,Omnivore
Lubbockia squillimana,Lubbockia,squillimana,128894,1.525,Boltovskoy 1999,Omnivore
Clausocalanus pergens,Clausocalanus,pergens,104509,0.9,Frost & Fleminger 1968,Herbivore
Corycaeus spp.,Corycaeus,spp.,128634,1.85,‘Species spp.’ (eg. Acartia spp. or Oncaea venusta (no sex)) size range based on the min & max size range for all the female & male species of that species or genus present in database,Carnivore
Tortanus (Tortanus) gracilis,Tortanus (Tortanus),gracilis,720560,1.81,Razouls 2013,Carnivore
Parvocalanus spp.,Parvocalanus,spp.,347746,0.66,Razouls 2013,Herbivore
Acrocalanus longicornis,Acrocalanus,longicornis,104646,1.13,Boltovskoy 1999,Herbivore
Caligus spp.,Caligus,spp.,135566,5.2, Z. Kabata (1965),
Candacia ethiopica,Candacia,ethiopica,104478,2.575,Boltovskoy 1999,Carnivore
Microsetella norvegica,Microsetella,norvegica,116115,0.375,Boltovskoy 1999,Omnivore
Oithona grp 3,Oithona,grp 3,106485,1.425,Size compiled from species in group from Nishida 1985,Herbivore
Oithona spp.,Oithona,spp.,106485,1.005,‘Species m’ (male) (eg. Acartia spp. m ) size range based on the min & max size range for all the male species of that genus in the database,Herbivore
Oncaea mediterranea complex,Oncaea,mediterranea complex,128939,0.96,Bottger-Schnack 1997,Omnivore
Paracalanus aculeatus,Paracalanus,aculeatus,104681,1.08,Bradford-Grieve 1994,Herbivore
Paracalanus indicus,Paracalanus,indicus,104683,0.9,Bradford-Grieve 1994,Herbivore
Paracalanus indicus,Paracalanus,indicus,104683,0.935,Bradford-Grieve 1994,Herbivore
Sapphirina angusta,Sapphirina,angusta,129041,4,Boltovskoy 1999,Omnivore
Temora discaudata,Temora,discaudata,220898,1.58,Razouls 2012,Herbivore
Cnidarian larvae,,,1267,,,
Nauplii euphausiid,,,110671,,,
Euphausiid furcilia larvae,,,110671,,,
Euphausiid adult,,,110671,,,
Hydromedusae,,,1337,,,
Ostracod,,,1078,,,
Acartia (Acanthacartia) sinjiensis,Acartia (Acanthacartia),sinjiensis,345940,0.98,Razouls 2012,Omnivore
Eucalanus elongatus,Eucalanus,elongatus,149718,6.525,Razouls 2012,Herbivore
Euchaeta marina,Euchaeta,marina,104552,3.04,Boltovskoy 1999,Carnivore
Labidocera spp.,Labidocera,spp.,104208,1.45,"‘Species j’ (juvenile) (eg. Acartia spp. j or Centropages australiensis j )  the maximum size limit is based on the minimum size of either the smallest male or female of that species or genus and no minimum size limit has been entered",Carnivore
Lucicutia spp.,Lucicutia,spp.,104183,2,"‘Species j’ (juvenile) (eg. Acartia spp. j or Centropages australiensis j )  the maximum size limit is based on the minimum size of either the smallest male or female of that species or genus and no minimum size limit has been entered",Omnivore
Clausocalanus spp.,Clausocalanus,spp.,104161,1.28,‘Species i’ (eg. Clausocalanus spp. i) size range based on the min & max size range for all the female species of that genus present in database,Herbivore
Urocorycaeus longistylis,Urocorycaeus,longistylis,765217,2.12,Boltovskoy 1999,Carnivore
Mecynocera spp.,Mecynocera,spp.,104184,1.065,‘Species spp.’ (eg. Acartia spp. or Oncaea venusta (no sex)) size range based on the min & max size range for all the female & male species of that species or genus present in database,Herbivore
Oncaea venusta medium no hump,Oncaea,venusta medium no hump,128954,1.025,Bottger-Schnack & Huys 2004,Omnivore
Corycaeus speciosus,Corycaeus,speciosus,128800,1.67,Boltovskoy 1999,Carnivore
Euchaeta indica,Euchaeta,indica,346438,2.565,"Bradford Haakonssen & Jillett 1983",Carnivore
Copilia hendorffi,Copilia,hendorffi,346293,4.5,Razouls 2012,Omnivore
Oncaea venusta typica,Oncaea,venusta typica,363803,1.2,Bottger-Schnack & Huys 2004,Omnivore
Candacia bipinnata,Candacia,bipinnata,104475,2.325,Boltovskoy 1999,Carnivore
Centropages furcatus,Centropages,furcatus,104495,1.76,Boltovskoy 1999,Omnivore
Centropages spp.,Centropages,spp.,104159,1.25,"‘Species j’ (juvenile) (eg. Acartia spp. j or Centropages australiensis j )  the maximum size limit is based on the minimum size of either the smallest male or female of that species or genus and no minimum size limit has been entered",Omnivore
Agetus limbatus,Agetus,limbatus,128796,1.44,Razouls 2012,Carnivore
Ditrichocorycaeus spp.,Ditrichocorycaeus,spp.,128635,0.955,‘Species m’ (male) (eg. Acartia spp. m ) size range based on the min & max size range for all the male species of that genus in the database,Carnivore
Acrocalanus gibber,Acrocalanus,gibber,104645,1.165,Boltovskoy 1999,Herbivore
Calanopia spp.,Calanopia,spp.,104207,1.65,‘Species f’ (female) (eg. Acartia spp. f ) size range based on the min & max size range for all the female species of that genus in the database,Carnivore
Ditrichocorycaeus erythraeus,Ditrichocorycaeus,erythraeus,764981,0.87,Razouls 2012,Carnivore
Metridia lucens,Metridia,lucens,104633,1.96,Boltovskoy 1999,Omnivore
Onychocorycaeus latus,Onychocorycaeus,latus,128818,0.935,Boltovskoy 1999,Carnivore
Agetus typicus,Agetus,typicus,128797,1.55,Razouls 2012,Carnivore
Oncaea venusta venella,Oncaea,venusta venella,363588,0.85,Bottger-Schnack & Huys 2004,Omnivore
Centropages spp.,Centropages,spp.,104159,1.95,‘Species f’ (female) (eg. Acartia spp. f ) size range based on the min & max size range for all the female species of that genus in the database,Omnivore
Sapphirina scarlata,Sapphirina,scarlata,129058,4.125,Boltovskoy 1999,Omnivore
Podon intermedius,Podon,intermedius,106276,,,
Dioithona rigida,Dioithona,rigida,220943,0.805,Nishida 1985,Herbivore
Corycaeus vitreus,Corycaeus,vitreus,346298,1.71,Razouls 2012,Carnivore
Trochophore larvae,,,882,,,
Eucalanus spp.,Eucalanus,spp.,104171,6.525,‘Species f’ (female) (eg. Acartia spp. f ) size range based on the min & max size range for all the female species of that genus in the database,Herbivore
Copilia quadrata,Copilia,quadrata,129039,4.6,Boltovskoy 1999,Omnivore
Ditrichocorycaeus subtilis,Ditrichocorycaeus,subtilis,128809,0.75,Razouls 2012,Carnivore
Undinula vulgaris,Undinula,vulgaris,104473,1,Bjornberg 1966,Herbivore
Neocalanus gracilis,Neocalanus,gracilis,104471,3.215,Boltovskoy 1999,Herbivore
Eucalanus hyalinus,Eucalanus,hyalinus,345781,6.1,Bradford-Grieve 1994,Herbivore
Oithona nana,Oithona,nana,106651,0.54,Nishida 1985,Herbivore
Doliolum nationalis,Doliolum,nationalis,137247,,,
Nannocalanus minor,Nannocalanus,minor,104469,1.725,Boltovskoy 1999,Herbivore
Aegisthus spp.,Aegisthus,spp.,115186,1.85,Razouls 2013,Omnivore
Lucicutia spp.,Lucicutia,spp.,104183,1.65,‘Species spp.’ (eg. Acartia spp. or Oncaea venusta (no sex)) size range based on the min & max size range for all the female & male species of that species or genus present in database,Omnivore
Paracalanus spp.,Paracalanus,spp.,104196,1.05,‘Species spp.’ (eg. Acartia spp. or Oncaea venusta (no sex)) size range based on the min & max size range for all the female & male species of that species or genus present in database,Herbivore
Sapphirina spp.,Sapphirina,spp.,128722,4.51,‘Species spp.’ (eg. Acartia spp. or Oncaea venusta (no sex)) size range based on the min & max size range for all the female & male species of that species or genus present in database,Omnivore
Oncaea spp.,Oncaea,spp.,128690,0.855,‘Species spp.’ (eg. Acartia spp. or Oncaea venusta (no sex)) size range based on the min & max size range for all the female & male species of that species or genus present in database,Omnivore
Euchaeta spp.,Euchaeta,spp.,104174,3.255,‘Species spp.’ (eg. Acartia spp. or Oncaea venusta (no sex)) size range based on the min & max size range for all the female & male species of that species or genus present in database,Carnivore
Oithona grp 5,Oithona,grp 5,106485,0.805,Unknown,Herbivore
Parvocalanus crassirostris,Parvocalanus,crassirostris,360051,0.51,‘Species i’ (eg. Clausocalanus spp. i) size range based on the min & max size range for all the female species of that genus present in database,Herbivore
Oncaea curvata,Oncaea,curvata,344719,0.63,Boltovskoy 1999,Omnivore
Large copepodite CIV,,,1080,2.4,,Herbivore
Solidosagitta marri,Solidosagitta,marri,266854,,,
Limacina helicina,Limacina,helicina,140223,,,
Euphausia similis var. armata,Euphausia,similis var. armata,492647,,,
Siphonophore / nectophore,,,1371,,,
Chelophyes contorta,Chelophyes,contorta,196554,,,
Eudoxoides mitra,Eudoxoides,mitra,135423,,,
Oithona similis,Oithona,similis,106656,0.82,Nishida 1985,Herbivore
Calanoid copepods (small),,,104079,1,,Herbivore
Nauplii crustracean,,,1066,,,
Vibilia antarctica,Vibilia,antarctica,325408,,,
Squid j,,,11707,,,
Thysanoessa macrura,Thysanoessa,macrura,236219,,,
Oithona nana,Oithona,nana,106651,0.44,Boltovskoy 1999,Herbivore
Oithona simplex,Oithona,simplex,106657,0.36,Boltovskoy 1999,Herbivore
Pleuromamma quadrungulata,Pleuromamma,quadrungulata,104641,3.47,Boltovskoy 1999,Omnivore
Labidocera carpentariensis,Labidocera,carpentariensis,220920,1.93,Razouls 2013,Carnivore
Pontella securifer,Pontella,securifer,104740,3.985,Boltovskoy 1999,Carnivore
Onychocorycaeus pacificus,Onychocorycaeus,pacificus,359744,1.085,Razouls 2012,Carnivore
Euchaeta concinna,Euchaeta,concinna,104551,2.995,"Bradford Haakonssen & Jillett 1983",Carnivore
Pontellina morii,Pontellina,morii,220928,1.57,Razouls 2012,Carnivore
